Unnamed: 0,Unnamed: 1,Revenue,Cost,ROAS,CPA,Leads,Revenue Per Submit Lead,Average Submits,Average Submits SD,Qualification Rate,Qualified Leads,Distributed Leads,Partners Received Leads,Partners Received No Leads,Revenue per Partner,Contribution Margin per Partner,Complaint Rate,Contribution Margin,Predicted Revenue,Predicted Cost,Predicted ROAS,Predicted Contribution Margin,Submitted Leads to Large Partner,Submitted Leads to Medium Partner,Submitted Leads to Small Partner
Solar DACH,Today,14261.0,7890.81,1.81,66.87,118,198.07,3.17,3.41,63.56,75,72,35,4,365.67,163.34,2.94,6370.19,11129.54,7890.81,1.41,3238.74,49.36,33.05,17.6
Solar DACH,Yesterday,20200.0,14446.37,1.4,93.2,155,188.79,3.23,3.25,72.08,111,107,43,4,429.79,122.42,6.98,5753.63,16449.5,14446.37,1.14,2003.13,49.7,28.96,21.34
Solar DACH,Last 7 Days,105541.0,74849.73,1.41,82.07,912,171.06,3.12,3.2,69.37,632,617,51,22,1445.77,420.43,13.24,30691.27,92145.51,74849.73,1.23,17295.78,51.78,28.21,20.01
Solar DACH,Last 8-14 Days,99013.0,77228.79,1.28,78.33,986,162.85,2.97,3.15,65.62,647,608,53,12,1523.28,335.14,19.11,21784.21,92722.35,77228.79,1.2,15493.56,52.55,29.35,18.09
Solar DACH,Last 14 Days,204554.0,152078.52,1.35,80.13,1898,166.98,3.04,3.17,67.42,1279,1225,55,30,2406.52,617.36,16.14,52475.48,184762.82,152078.52,1.21,32684.3,52.17,28.78,19.05
Solar DACH,Last 30 Days,366809.0,275776.62,1.33,76.73,3594,159.21,2.9,3.05,67.58,2428,2304,57,37,3902.22,968.43,18.9,91032.38,305637.06,275776.62,1.11,29860.43,52.95,27.84,19.22
Solar DACH,Current Month,192602.0,141872.88,1.36,80.2,1769,167.33,3.07,3.18,67.59,1195,1151,55,27,2348.8,618.65,16.07,50729.12,422035.0,344012.0,1.23,78023.0,51.53,29.23,19.25
Solar DACH,Last Month,319017.0,253243.76,1.26,73.02,3468,146.54,2.63,2.85,67.82,2352,2177,54,25,4038.19,832.57,22.78,65773.24,319242.0,253243.76,1.26,65998.24,55.65,25.05,19.3
Heat Pump DACH,Today,3255.0,1147.39,2.84,34.77,33,120.56,2.39,2.58,84.85,28,27,14,0,232.5,150.54,7.46,2107.61,2779.85,1147.39,2.42,1632.47,39.06,37.5,23.44
Heat Pump DACH,Yesterday,5503.0,2484.98,2.21,50.71,49,144.82,3.0,3.02,79.59,39,38,16,2,305.72,167.67,7.69,3018.02,4711.4,2484.98,1.9,2226.42,42.16,36.27,21.57
Heat Pump DACH,Last 7 Days,29753.0,19494.14,1.53,49.73,392,115.32,2.43,2.63,71.43,280,258,27,8,850.09,293.11,13.09,10258.86,27054.54,19494.14,1.39,7560.4,42.56,40.15,17.29
Heat Pump DACH,Last 8-14 Days,44552.0,34051.23,1.31,55.82,610,110.0,2.39,2.6,72.46,442,405,27,9,1237.56,291.69,15.45,10500.77,41643.07,34051.23,1.22,7591.84,45.77,39.03,15.19
Heat Pump DACH,Last 14 Days,74305.0,53545.37,1.39,53.44,1002,112.07,2.4,2.61,72.06,722,663,30,12,1769.17,494.28,14.52,20759.63,68701.19,53545.37,1.28,15155.83,44.53,39.46,16.01
Heat Pump DACH,Last 30 Days,113674.0,84096.37,1.35,51.47,1634,106.54,2.31,2.54,71.85,1174,1067,31,14,2526.09,657.28,17.13,29577.63,94869.92,84096.37,1.13,10773.55,47.26,36.83,15.91
Heat Pump DACH,Current Month,68966.0,50134.61,1.38,53.39,939,112.14,2.37,2.59,71.78,674,615,30,12,1642.05,448.37,14.03,18831.39,157218.0,117694.0,1.34,39524.0,44.43,39.75,15.82
Heat Pump DACH,Last Month,97621.0,72237.33,1.35,48.03,1504,102.01,2.2,2.45,71.21,1071,957,28,12,2440.53,634.59,19.8,25383.67,97876.0,72237.33,1.35,25638.67,48.84,35.53,15.63
Stairlift DACH,Today,4080.0,1315.02,3.1,65.75,20,291.43,2.36,2.36,70.0,14,14,9,0,453.33,307.22,9.09,2764.98,3376.63,1315.02,2.57,2061.61,18.75,68.75,12.5
Stairlift DACH,Yesterday,4845.0,2478.34,1.95,85.46,29,242.25,2.3,2.29,71.43,20,20,8,0,605.63,295.83,21.74,2366.66,4657.79,2478.34,1.88,2179.45,26.19,61.9,11.9
Stairlift DACH,Last 7 Days,27210.0,13301.5,2.05,95.01,140,261.63,2.4,2.42,75.54,105,104,13,5,1511.67,772.69,19.44,13908.5,25413.46,13301.5,1.91,12111.96,28.23,57.26,14.52
Stairlift DACH,Last 8-14 Days,22935.0,14527.22,1.58,102.3,142,238.91,2.01,2.05,69.01,98,96,11,3,1638.21,600.56,25.38,8407.78,23124.82,14527.22,1.59,8597.6,22.34,65.48,12.18
Stairlift DACH,Last 14 Days,50145.0,27828.72,1.8,98.68,282,250.73,2.21,2.24,72.24,203,200,13,6,2639.21,1174.54,22.05,22316.28,48399.03,27828.72,1.74,20570.31,25.62,60.9,13.48
Stairlift DACH,Last 30 Days,109815.0,71833.72,1.53,107.7,667,238.21,2.23,2.33,72.37,482,461,13,10,4774.57,1651.36,24.63,37981.28,93340.03,71833.72,1.3,21506.31,27.61,57.09,15.3
Stairlift DACH,Current Month,47250.0,26419.11,1.79,100.07,264,251.33,2.17,2.21,72.62,191,188,13,6,2486.84,1096.36,20.96,20830.89,111049.0,63122.0,1.76,47927.0,25.79,61.31,12.9
